Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y,Velocidad_Y_Teorico,Posicion_Y_Teorico,Posicion_Ajuste_Viscoso_Y,Velocidad_Ajuste_Viscoso_Y,Aceleracion_Ajuste_Viscoso_Y,Fuerza_Rozamiento_Y,Fuerza_Rozamiento_Y_Teorico,Impulso,Impulso_Teorico,Trabajo_Experimental,Trabajo_Teorico,Energia_Potencial,Energia_Cinetica,Energia_Mecanica,Energia_Potencial_Teorico,Energia_Cinetica_Teorico,Energia_Mecanica_Teorico,Energia_Potencial_Ajuste,Energia_Cinetica_Ajuste,Energia_Mecanica_Ajuste
1,-0.000524081632653021,4.279747664399096,0.0,0.0,0.0,0.0,-0.1621974850157649,4.278644745843196,4.278643342918847,-0.1623040973926395,-6.427070945465239,-0.0,0.015588563486610117,-0.0,0.0002598093914435019,-0.0,-4.21404298756124e-05,4.198432458775514,0.0,4.198432458775514,4.197350495672175,0.001315401207271964,4.198665896879447,4.197349119403389,0.0013171310015219707,4.198666250404911
2,-0.0016304761904761358,4.2738274829932,-0.06638367346938688,-0.3552108843537738,0.0,0.0,-0.3218175737088621,4.274607735912138,4.274596593204335,-0.3222396872039823,-6.427070945465239,0.03413879950940998,0.03092941717548721,0.0005689799918234996,0.000775299677701622,-0.00020210788607522828,-0.0002080342630696874,4.192624760816329,0.006308738618169503,4.198933499434499,4.193390188929808,0.005178327537392945,4.1985685164672,4.1933792579334535,0.005191920800466017,4.1985711787339195
3,-0.0018051700680271573,4.265383945578233,-0.038432653061224085,-0.4309115646258821,1.6770612244897678,-4.542040816326498,-0.4789012221508575,4.267931584600445,4.26789424792307,-0.47984133312190025,-6.427070945465239,0.041414281372070406,0.04602649729487615,0.0012592180146913396,0.001542407965949558,-0.0004995394324734847,-0.0005754033598336761,4.1843416506122475,0.009284238826416288,4.193625889438664,4.186840884493037,0.01146731902887925,4.198308203521917,4.186804257212532,0.011512385248610124,4.198316642461142
4,-0.0010481632653060865,4.2544170521542,-0.01048163265306131,-0.5066122448979193,1.6770612244897671,-4.542040816324366,-0.6334887356015727,4.258658229138459,4.258570361760016,-0.6351430944455402,-6.427070945465239,0.04868976323472401,0.06088367752445521,0.002070714068603407,0.002557135924690478,-0.0009106532700716798,-0.0012182220913960265,4.173583128163271,0.01283279833402547,4.186415926497296,4.177743722784829,0.020065398906703967,4.197809121691533,4.177657524886577,0.020170337521092818,4.19782786240767
5,0.0011646258503401113,4.240868571428576,0.05590204081632494,-0.6591782312924721,2.4457142857142364,-6.079346938773966,-0.7856197788507958,4.2468289403536845,4.246658552691481,-0.7881785334458814,-6.427070945465239,0.06335265745023926,0.07550476998926281,0.003126591692774061,0.0038155487578448583,-0.0016066648148337893,-0.002206856103081774,4.160292068571434,0.021725797030493595,4.182017865601927,4.166139190486965,0.030859921846078664,4.196999112333044,4.1659720401903435,0.03106127002924502,4.197033310219589
6,0.0035715192743763524,4.224486167800459,0.1075337868480702,-0.8179555555554963,2.919328798185886,-7.740879818592283,-0.9353333863956612,4.232484333260261,4.232192007585361,-0.9389807226188793,-6.427070945465239,0.07861251428012576,0.08989352623783059,0.004436800264109491,0.005313774195142035,-0.0026783571946940336,-0.0036081963749330626,4.14422093061225,0.03345256454320503,4.177673495155455,4.152067130928316,0.04374242718531877,4.195809558113635,4.15178035944124,0.044084239872493644,4.195864599313733
7,0.0062889795918366605,4.206939138322,0.14674285714285495,-0.9495582766439981,3.144489795918325,-8.858920634921574,-1.0826679724563038,4.215664377480148,4.215203487729561,-1.0875822518327605,-6.427070945465239,0.0912606596721419,0.10405363820477333,0.005957811258645189,0.007048001498554923,-0.004122645773421925,-0.005485788733297458,4.1270072946938825,0.04508304603715598,4.172090340731039,4.135566754308026,0.058608496929132184,4.194175251237158,4.135114621462701,0.0591417577250809,4.194256379187782
8,0.008152380952380911,4.18729578231293,0.139755102040816,-1.0714557823129311,1.6770612244898215,-8.24555102040918,-1.2276613408323598,4.196408407498724,4.19572533428953,-1.2340152353710279,-6.427070945465239,0.10297605097919509,0.11798873915808289,0.007674078774965108,0.009014480484522972,-0.005961550527778754,-0.00789995896192965,4.107737162448984,0.057400874672590765,4.165138037121575,4.116676647756249,0.07535761838871538,4.192034266144964,4.116006552938029,0.07613968005639067,4.1921462329944195
9,0.009627573696145093,4.165633741496603,0.12112108843537484,-1.1770485260771046,0.2717460317460927,-7.181859410432168,-1.3703506946028423,4.174755132757405,4.173789473695798,-1.378311318872672,-6.427070945465239,0.11312441542352161,0.131702404631369,0.009559485698690468,0.011209520561712457,-0.008180765968405258,-0.010907933656387337,4.086486700408169,0.06927216163701423,4.155758862045183,4.095434785235015,0.09389305130992463,4.18932783654494,4.094487473695579,0.09498710458662624,4.189474578282205
10,0.009938140589569131,4.141098956916105,0.07298321995464942,-1.3168036281179063,-1.4751927437641108,-7.344907029478165,-1.5107726456718824,4.150742647585903,4.149427422962441,-1.520501686171119,-6.427070945465239,0.12655607424689339,0.1451981533412866,0.011668753602805358,0.013629489784067233,-0.010958257597216397,-0.014563956960888792,4.0624180767347,0.08669858975122408,4.149116666485924,4.071878537281772,0.11412169934552097,4.186000236627293,4.070588301926155,0.1155962688824608,4.186184570808616
