Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y,Velocidad_Y_Teorico,Posicion_Y_Teorico,Posicion_Ajuste_Viscoso_Y,Velocidad_Ajuste_Viscoso_Y,Aceleracion_Ajuste_Viscoso_Y,Fuerza_Rozamiento_Y,Fuerza_Rozamiento_Y_Teorico,Impulso,Impulso_Teorico,Trabajo_Experimental,Trabajo_Teorico,Energia_Potencial,Energia_Cinetica,Energia_Mecanica,Energia_Potencial_Teorico,Energia_Cinetica_Teorico,Energia_Mecanica_Teorico,Energia_Potencial_Ajuste,Energia_Cinetica_Ajuste,Energia_Mecanica_Ajuste
1,-3.5869328371971065e-05,4.279928261343258,0.0,0.0,0.0,0.0,-0.16730961085759902,4.278616416679608,4.278646069495839,-0.16184574073077537,-3.805798668912101,0.0,-0.04606766363176362,0.0,-0.0007677943938627271,0.0,-0.0,4.198609624377736,0.0,4.198609624377736,4.197322704762696,0.001399625294266061,4.198722330056962,4.197351794175418,0.0013097021896346683,4.198661496365053
2,-0.00021521597023180656,4.2762337205209455,-0.01076079851159013,-0.22167244933875452,0.0,0.0,-0.3424760646054624,4.274379366908111,4.274618233188349,-0.3204275206649151,-3.805798668912101,-0.061036134028537734,-0.09429866022223202,-0.001017268900475629,-0.0023394387308999275,0.00022550048880457435,0.0003483902496804192,4.194985279831048,0.002456933739792135,4.19744221357084,4.193166158936857,0.005864492741382244,4.19903065167824,4.1934004867577706,0.00513368979997323,4.198534176557744
3,0.00010760798511590797,4.269777241413991,0.0043043194046363704,-0.3045305978780011,0.90390707497359,-4.971488912354793,-0.5258683178139023,4.267154852181278,4.267966705832447,-0.47581116445763666,-3.805798668912101,-0.08385061131105033,-0.14479457967463155,-0.002414779088993134,-0.00475268172547712,0.0007668802088397022,0.0012832534281498826,4.188651473827126,0.00463694425219664,4.193288418079323,4.186078909989834,0.013826874384021168,4.199905784373855,4.186875338421631,0.011319813211126609,4.198195151632757
4,0.0009326025376711728,4.260558824022399,0.019369437320862878,-0.3873887464171766,0.9039070749735902,-4.971488912352662,-0.7178726532175279,4.2568025814382775,4.258740759172414,-0.6280611692711172,-3.805798668912101,-0.10666508859354337,-0.19766178254406438,-0.00419253056555219,-0.008047044767878193,0.0017501635166061373,0.0031053822420071867,4.179608206365974,0.007503502042533578,4.187111708408508,4.17592333239095,0.025767057311878658,4.201690389702829,4.177824684748138,0.019723041617310148,4.197547726365449
5,0.00272606895626957,4.248650207002905,0.05882569853002753,-0.551670270360809,1.3917299408323531,-6.599956420441089,-0.918893493350221,4.243175675563843,4.246988739651213,-0.7772407315461963,-3.805798668912101,-0.15189898727489365,-0.25301162406685235,-0.006724180353467084,-0.012263905168992398,0.003559070381711868,0.006118400774499572,4.167925853069851,0.015217004359998402,4.183142857429849,4.16255533772813,0.04221826260606863,4.204773600334199,4.1662959535978406,0.030205157738723322,4.196501111336564
6,0.0043043194046361675,4.233513350429934,0.08393422839040521,-0.7252778196811427,1.5925981797153765,-8.414944436062832,-1.1293542523883244,4.226120358013888,4.232758085787234,-0.9234117732341628,-3.805798668912101,-0.19970074920016026,-0.31096068871027566,-0.010052526173469755,-0.01744658331416366,0.0065819119798695095,0.010825368119339238,4.153076596771766,0.02630139578607161,4.179377992557837,4.145824071211624,0.06377205136937956,4.2095961225810035,4.152335682157276,0.04263446514737305,4.194970147304649
7,0.005093444628819477,4.216009118184414,0.08321684182296608,-0.8909941167597069,1.276948090042064,-10.072107406850606,-1.3496982279963077,4.205475630912918,4.216095345224711,-1.0666349674995221,-3.805798668912101,-0.24532970376520502,-0.37163103573674516,-0.014141354569556506,-0.023640433909776076,0.010876220091300362,0.017330484078518494,4.13590494493891,0.03969352580502051,4.175598470743931,4.1255715939255735,0.09108426533281866,4.216655859258392,4.135989533665442,0.05688550769463533,4.192875041360077
8,0.005021705972075539,4.195778816982624,0.04591274031611939,-1.0574278004056303,-0.25825916427816287,-10.115150600896428,-1.5803895350534187,4.181072935941021,4.19704619146394,-1.2069697639044232,-3.805798668912101,-0.2911561862720677,-0.43515045629964466,-0.018993957674090966,-0.030892941514770154,0.016766397436348873,0.026133708877556824,4.1160590194599544,0.055907677653534486,4.171966697113489,4.101632550158142,0.12488155412531805,4.22651410428346,4.1173023138261255,0.07283880054897496,4.1901411143751
9,0.005165183285563401,4.173468094735259,0.017217277618544677,-1.2009051138934979,-1.3343390154372106,-9.512545884247103,-1.8219140832280416,4.152735799296142,4.175655440277318,-1.3444744130851762,-3.805798668912101,-0.3306617746400534,-0.501652742612367,-0.02450498725142519,-0.03925382055830961,0.024143700448163635,0.03732594388260982,4.09417220093529,0.07210865462877776,4.166280855564068,4.073833819109516,0.16596854633323377,4.23980236544275,4.096317986912049,0.09038057237203646,4.1866985592840855
10,0.006097785823234589,4.149005212785577,0.020086823888302227,-1.3400781079767299,-1.262600358693277,-8.98167982434046,-2.074780600458855,4.1202794599838155,4.151967065817071,-1.4792059909311208,-3.805798668912101,-0.3689821953569997,-0.5712779697575032,-0.030654690507375185,-0.04877512005426799,0.0331700683347164,0.05130104941724159,4.0701741137426515,0.0897904667739246,4.159964580516576,4.041994150244124,0.2152357270020204,4.257229877246144,4.073079691566547,0.10940251818032597,4.182482209746873
