Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y,Velocidad_Y_Teorico,Posicion_Y_Teorico,Posicion_Ajuste_Viscoso_Y,Velocidad_Ajuste_Viscoso_Y,Aceleracion_Ajuste_Viscoso_Y,Fuerza_Rozamiento_Y,Fuerza_Rozamiento_Y_Teorico,Impulso,Impulso_Teorico,Trabajo_Experimental,Trabajo_Teorico,Energia_Potencial,Energia_Cinetica,Energia_Mecanica,Energia_Potencial_Teorico,Energia_Cinetica_Teorico,Energia_Mecanica_Teorico,Energia_Potencial_Ajuste,Energia_Cinetica_Ajuste,Energia_Mecanica_Ajuste
1,0.0001893436676045358,4.280075737467042,0.0,0.0,0.0,0.0,-0.16267686470927156,4.278642076821256,4.278639734529045,-0.1629148499368234,-8.38502863055288,-0.0,0.00986101941724385,-0.0,0.0001643503236207308,-0.0,-2.6735995360574627e-05,4.198754298455169,0.0,4.198754298455169,4.197347877361652,0.0013231881155819324,4.198671065477234,4.1973455795729935,0.0013270624164968842,4.19867264198949
2,-0.00011360620056272163,4.276023782980305,-0.018176992090035447,-0.24311726920423382,0.0,0.0,-0.32371850034450156,4.274586522418082,4.274567854255156,-0.3246649809283716,-8.38502863055288,0.014737093172865987,0.019622915792747355,0.00024561821954776643,0.0004913989201665201,-5.971403080325894e-05,-0.00013260767657415144,4.194779331103679,0.002955300329266195,4.197734631432946,4.1933693784921395,0.005239683373264654,4.198609061865405,4.193351065024308,0.005270367492060995,4.1986214325163695
3,-0.00022721240112544316,4.268752986144292,-0.01249668206189937,-0.3396825396825154,0.3408186016881647,-5.793916228696894,-0.4831413442407071,4.267860453399948,4.267797684083868,-0.48525871984124047,-8.38502863055288,0.020590611489189104,0.029286685512075607,0.0005887950777009182,0.0009795103453677802,-0.00017628521754098787,-0.0003684344866851356,4.187646679407551,0.005769211388258182,4.193415890795809,4.186771104785349,0.011671277925735872,4.198442382711084,4.186709528086275,0.011773801259097976,4.198483329345373
4,-0.0001514749340836287,4.258263346959005,-0.006816372033763291,-0.43624781016074365,0.3408186016881647,-5.793916228695295,-0.640961668504687,4.258490713799949,4.2583424834419965,-0.6447043340111726,-8.38502863055288,0.02644412980550899,0.03885331494511834,0.0010295305744594013,0.0016270655944530857,-0.00036855511286198366,-0.0007834925795878213,4.177356343366784,0.009515607593502213,4.1868719509602865,4.17757939023775,0.02054159302461562,4.198120983262366,4.177433976256599,0.020782183914639478,4.198216160171238
5,-7.573746704181422e-05,4.244479127957395,0.000757374670418148,-0.6308931004581986,0.3786873352090719,-7.755516625079295,-0.7971955816759029,4.246503877814767,4.246215446599379,-0.8030100316686667,-8.38502863055288,0.03824298633331663,0.04832378054676786,0.0016669136800146786,0.0024324619368992165,-0.0007706757165054277,-0.0014255509852838092,4.163834024526205,0.019901305210287934,4.183735329736493,4.165820304136287,0.031776039772179056,4.197596343908466,4.165537353113991,0.032241255548025656,4.197778608662016
6,0.0006058997363345152,4.226832298136651,0.016662242749199165,-0.8384137601528074,0.5831784962219707,-9.974624409405841,-0.9518590303706514,4.23192625251705,4.23142970298904,-0.9601839623615284,-8.38502863055288,0.05082231196997036,0.05769904895658427,0.002513952212847518,0.0033941127528422876,-0.0014808444778121256,-0.0023409069985025266,4.146522484472055,0.03514688166067847,4.181669366132734,4.151519653719226,0.04530178068490784,4.196821434404134,4.151032538632248,0.046097662078814244,4.1971302007110625
7,0.0017419617419617308,4.207670718975072,0.03786873352090719,-1.0118525596786654,0.8937021110934097,-11.512094990358435,-1.1049678009097244,4.214783880540556,4.213998317525865,-1.1162342173744155,-8.38502863055288,0.06133568996557218,0.06698007709745968,0.003536213712273721,0.004510447371133282,-0.0025152223926674794,-0.0035744208067549233,4.127724975314546,0.05119228012641336,4.178917255440959,4.134702986810286,0.061047692052363614,4.195750678862649,4.133932349492874,0.0622989414018737,4.196231290894748
8,0.002650811346463503,4.185631116065903,0.05453097627010634,-1.1769602378298316,1.0754720319937638,-10.92134274743266,-1.256537520929699,4.195102542738295,4.19393429092357,-1.2711688301453625,-8.38502863055288,0.07134405853779918,0.07616781227329011,0.004725281354570374,0.005779910909021451,-0.003914707727740705,-0.005169549373563568,4.106104124860652,0.0692617700716227,4.175365894932274,4.115395594426268,0.07894432707520768,4.194339921501475,4.114249539396023,0.08079350973665649,4.195043049132679
9,0.002802286280547132,4.161395126612524,0.043927730884252336,-1.3087434304825507,0.5453097627010636,-9.406593406594865,-1.4065836609780296,4.172907760813944,4.171250560010229,-1.4249957766793602,-8.38502863055288,0.07933238941654636,0.08526319226566557,0.006047487844846147,0.007200964113449211,-0.005645136785630513,-0.007168379592292126,4.082328619206886,0.08564046834156175,4.167969087548448,4.093622513358479,0.09892387976651783,4.192546393124997,4.091996799370035,0.10153064817770066,4.193527447547735
10,0.0015147493408362875,4.133523738741136,-0.004544248022508875,-1.4829396046787124,-0.8482596308683212,-9.421740900000941,-1.5551215360921111,4.1482247999268225,4.1459599980422,-1.5777229759589393,-8.38502863055288,0.08989167735972026,0.09426714542958846,0.007545682467508152,0.00877208320394235,-0.00786686892709268,-0.009611660725683459,4.0549867877050545,0.1099554935562328,4.164942281261287,4.069408528728213,0.12092014960087437,4.190328678329088,4.067186758079399,0.1244604894434366,4.191647247522836
11,0.00015147493408362893,4.103380226858494,-0.0499867282475975,-1.645017784148184,-2.090354090354077,-9.361150926367046,-1.7021663073624642,4.121078671270672,4.118075415016517,-1.729358290351854,-8.38502863055288,0.09971640614162984,0.1031805907882295,0.00920762256986865,0.010491759717079508,-0.01060078995166475,-0.012538836145908094,4.025416002548183,0.13530417550819004,4.160720178056373,4.04277817651653,0.14486850689599837,4.187646683412528,4.039831982131203,0.14953400482043439,4.189365986951638
12,-0.0006058997363345148,4.070585903629388,-0.06816372033763295,-1.816184459662722,-2.2418290244377057,-10.148820583603424,-1.8477329834802183,4.091494134626538,4.087609557981731,-1.8799095260158232,-8.38502863055288,0.11009205429449062,0.11200443812673189,0.011042490141443493,0.01235850035252504,-0.013933247920698059,-0.015988074389623623,3.9932447714604296,0.16492629957601868,4.158171071036448,4.013755746068634,0.17070585891203544,4.18446160498067,4.009944976380078,0.17670299130025185,4.18664796768033
13,-0.00030294986816725754,4.037034205729864,-0.03635398418007091,-1.92979066022545,-0.6361947231512407,-8.93702111093475,-1.99183642226902,4.059495700889946,4.054575111347266,-2.029384433300395,-8.38502863055288,0.116978546431344,0.12073958808507132,0.012992132581965892,0.014370826820609563,-0.01769564969319734,-0.01999629954225035,3.9603305558209967,0.18620459961466893,4.146535155435665,3.9823652825730376,0.19837061665387248,4.18073589922691,3.9775381842316686,0.2059200589060983,4.183458243137767
14,-0.00037868733520907214,4.001664808621335,-0.010603245385854027,-2.0343083647431826,0.7876696572348694,-7.785811611899973,-2.134491332201566,4.025107634572726,4.018984697191208,-2.1777907071459346,-8.38502863055288,0.1233141191972505,0.12938693224998402,0.015047367901920069,0.01652727569144263,-0.02187663209609575,-0.024599220965379386,3.92563317725753,0.20692052614320408,4.132553703400734,3.9486305895158447,0.22780266236218083,4.176433251878025,3.9426239879445757,0.2371386182065595,4.179762606151135
15,-0.0009088496045017727,3.9643262373697206,-0.006058997363345166,-2.125193325193342,1.2420944594857557,-6.1801773106124,-2.2757122739008695,3.9883539562796417,3.980850875566621,-2.325135987479755,-8.38502863055288,0.1288233129067318,0.1379473532459692,0.017194423117032266,0.018826398245542116,-0.026439539508073744,-0.029831362380945903,3.8890040388596963,0.22582233347231667,4.114826372332013,3.912575231110329,0.2589433176791533,4.171518548789482,3.9052147089308558,0.27031286801367277,4.175527576944528
16,-0.0022721240112544313,3.923958167436434,-0.039383482861743487,-2.2615207658685943,-0.06058997363345157,-6.634602112862886,-2.415513661626455,3.949258445160165,3.940186144806318,-2.4714278596094266,-8.38502863055288,0.13708710347095457,0.14642172482537835,0.01947920817488151,0.021266760325965087,-0.03160662836194608,-0.03572609032552275,3.8494029622551422,0.2557238087227437,4.105126770977886,3.874222534702122,0.29173531247520224,4.165957847177324,3.8653226080549983,0.3053977832626816,4.17072039131768
