Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y
1,-0.00019841269841269332,4.27954365079365,0.0,0.0,0.0,0.0
2,0.0001190476190476127,4.274166666666666,0.019047619047618362,-0.3226190476190638,0.0,0.0
3,0.00023809523809522774,4.264940476190475,0.013095238095237632,-0.4380952380952685,-0.35714285714284383,-6.928571428572283
4,0.00015873015873015252,4.251865079365082,0.007142857142856917,-0.5535714285713667,-0.3571428571428434,-6.928571428569086
5,7.936507936508584e-05,4.234761904761908,-0.0007936507936505372,-0.7880952380951634,-0.39682539682537804,-9.309523809521991
6,-0.0003174603174603001,4.213492063492067,-0.011111111111110558,-1.0289682539681522,-0.48412698412696376,-11.817460317457673
7,-0.0016666666666666297,4.190476190476193,-0.03650793650793565,-1.2277777777777743,-0.8730158730158513,-13.484126984128153
8,-0.0037301587301586787,4.165238095238099,-0.0761904761904753,-1.390476190476182,-1.5079365079364953,-12.047619047620373
9,-0.006269841269841224,4.1379365079365105,-0.11904761904761847,-1.5111111111111342,-2.158730158730158,-9.64285714285964
10,-0.00833333333333331,4.108095238095242,-0.1333333333333336,-1.647619047619031,-1.9365079365079592,-8.396825396825136
11,-0.009523809523809521,4.075476190476193,-0.11587301587301685,-1.795238095238112,-0.7936507936508311,-8.0952380952386
12,-0.010158730158730166,4.039920634920638,-0.07777777777777883,-1.9603174603174445,0.8253968253967928,-8.984126984126206
13,-0.01055555555555554,4.001190476190479,-0.04444444444444459,-2.13809523809525,1.7777777777777803,-9.809523809524379
14,-0.011031746031745993,3.959841269841273,-0.03015873015872944,-2.3126984126984063,1.7142857142857482,-10.349206349205886
15,-0.012063492063492026,3.915634920634924,-0.03809523809523721,-2.485714285714282,0.7936507936508326,-10.507936507936755
16,-0.013571428571428538,3.869841269841273,-0.06031746031745996,-2.6269841269841265,-0.3174603174603073,-9.77777777777753
17,-0.014920634920634897,3.822222222222225,-0.07777777777777807,-2.752380952380955,-0.9523809523809726,-8.793650793650976
18,-0.016190476190476158,3.772777777777781,-0.08253968253968264,-2.8571428571428648,-0.8888888888889084,-7.428571428571651
19,-0.016587301587301536,3.720000000000003,-0.060317460317459964,-2.996825396825402,-7.401486830834377e-17,-7.396825396825513
20,-0.016904761904761846,3.6642857142857173,-0.039682539682538986,-3.1587301587301564,0.7619047619047817,-8.126984126984027
21,-0.016904761904761863,3.605793650793654,-0.01428571428571411,-3.3396825396825403,1.3650793650793707,-9.65079365079351
22,-0.017936507936507903,3.545317460317463,-0.026984126984127346,-3.4936507936507954,0.6666666666666524,-9.936507936507866
23,-0.01920634920634917,3.4828571428571453,-0.04603174603174651,-3.6285714285714388,-0.12698412698415043,-9.396825396825648
24,-0.02095238095238092,3.418650793650796,-0.08095238095238115,-3.7428571428571544,-1.3333333333333408,-8.063492063492284
25,-0.021984126984126946,3.351587301587304,-0.08095238095238086,-3.874603174603184,-1.0793650793650704,-7.61904761904777
26,-0.02269841269841265,3.281190476190478,-0.06984126984126954,-4.033333333333342,-0.47619047619046073,-8.095238095238066
27,-0.021904761904761875,3.208174603174605,-0.01904761904761909,-4.209523809523823,1.238095238095241,-9.333333333333371
28,-0.021111111111111087,3.1324603174603194,0.017460317460317176,-4.38253968253969,1.9682539682539606,-10.158730158730123
29,-0.020952380952380917,3.054920634920637,0.03492063492063463,-4.5253968253968235,2.0952380952380834,-9.841269841269629
30,-0.02238095238095234,2.9749206349206374,-0.009523809523809337,-4.665079365079352,0.19047619047619482,-9.111111111110581
31,-0.02436507936507931,2.8927777777777806,-0.06507936507936442,-4.793650793650777,-1.6507936507936323,-8.222222222221731
32,-0.02587301587301582,2.80730158730159,-0.09841269841269802,-4.952380952380944,-2.6666666666666536,-8.539682539682403
33,-0.026269841269841228,2.7193650793650814,-0.07777777777777772,-5.11111111111112,-1.365079365079368,-8.92063492063535
34,-0.026190476190476167,2.6290476190476206,-0.03650793650793717,-5.2746031746031985,0.5714285714285446,-9.619047619048438
35,-0.026825396825396808,2.536507936507938,-0.019047619047619785,-5.415873015873035,1.5873015873015646,-9.269841269841823
36,-0.02809523809523809,2.441428571428573,-0.03650793650793724,-5.558730158730167,0.8253968253968095,-8.952380952380956
37,-0.029365079365079372,2.3435714285714306,-0.0634920634920641,-5.709523809523799,-0.539682539682539,-8.69841269841201
38,-0.030000000000000016,2.2427777777777798,-0.06349206349206417,-5.874603174603169,-0.888888888888888,-9.17460317460268
39,-0.030634920634920636,2.1388095238095257,-0.050793650793650925,-6.052380952380947,-0.28571428571427404,-9.87301587301559
40,-0.03158730158730159,2.0327777777777793,-0.044444444444444314,-6.215873015873026,0.3809523809523954,-10.126984126984535
41,-0.03317460317460316,1.924444444444446,-0.06349206349206292,-6.366666666666677,2.4720966014986818e-14,-9.841269841270162
42,-0.03515873015873014,1.814365079365081,-0.09047619047619006,-6.488888888888895,-0.793650793650783,-8.730158730158966
43,-0.0369047619047619,1.7014285714285728,-0.10634920634920624,-6.62698412698413,-1.2380952380952388,-8.222222222222086
44,-0.037777777777777764,1.5865873015873029,-0.09206349206349203,-6.7571428571428624,-0.5714285714285825,-7.809523809523711
45,-0.037539682539682505,1.4689682539682551,-0.047619047619047304,-6.907936507936516,0.8571428571428547,-8.380952380952422
46,-0.0372222222222222,1.3497619047619058,-0.006349206349205994,-7.033333333333341,2.000000000000005,-8.126984126984222
47,-0.03785714285714284,1.2283333333333342,-0.0015873015873014984,-7.165079365079374,1.8095238095238104,-8.158730158730236
48,-0.03992063492063492,1.1046825396825404,-0.04761904761904828,-7.285714285714295,-1.9984014443252818e-14,-7.555555555555582
49,-0.04261904761904763,0.9784126984126991,-0.1079365079365087,-7.426984126984135,-2.0317460317460547,-7.873015873015881
50,-0.04412698412698416,0.8488888888888897,-0.12539682539682642,-7.5888888888888895,-2.476190476190499,-8.476190476190304
51,-0.046746031746031765,0.7184126984126991,-0.1365079365079369,-7.7253968253968255,-1.777777777777773,-8.793650793650603
52,-0.047142857142857146,0.5915079365079371,-0.09047619047619027,-7.73809523809524,0.34920634920636856,-6.2222222222220935
53,-0.045158730158730134,0.4706349206349211,-0.02063492063491948,-7.565079365079373,2.095238095238139,0.4761904761903324
54,-0.03555555555555551,0.3524603174603178,0.22380952380952515,-7.319047619047626,7.206349206349241,8.126984126983992
55,-0.02880952380952373,0.2425000000000005,0.3666666666666683,-6.980158730158732,9.142857142857173,15.158730158730158
56,-0.02083333333333328,0.1386904761904767,0.48650793650793717,-6.638888888888888,10.142857142857133,18.52380952380969
57,-0.011626984126984118,0.04103174603174631,0.47857142857142776,-6.22857142857143,5.095238095238051,21.80952380952391
