Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y
1,7.899593946104677e-05,4.280157991878922,0.0,0.0,0.0,0.0
2,0.00011849390919158495,4.275615725359912,0.002369878183832291,-0.27253599114061444,0.0,0.0
3,-0.00011849390919157219,4.267084163898118,-0.0059246954595785686,-0.3922148394241276,-0.49767441860465156,-7.18073089701079
4,-0.0006319675156884242,4.254563307493543,-0.01421926910298942,-0.5118936877075875,-0.49767441860465134,-7.180730897009191
5,-0.0016589147286821346,4.237579180509416,-0.03554817275747439,-0.7607308970099247,-0.7583610188261337,-9.763898117386205
6,-0.002527870062753735,4.216961240310081,-0.048187523071243264,-1.0024584717607432,-0.8452565522332939,-12.204872646732312
7,-0.0033178294573643023,4.1938944259874535,-0.05371723883351756,-1.2133776301217836,-0.7899593946105629,-14.029678848283922
8,-0.00410778885197487,4.168694721299376,-0.04897748246585471,-1.37768918420079,-0.26858619416760643,-12.339165743817304
9,-0.005134736064968576,4.140809154669624,-0.05213732004429681,-1.523041712809139,-0.07899593946107092,-10.411664820967914
10,-0.005924695459579129,4.110632705795501,-0.05213732004429653,-1.665234403839051,0.031598375784420575,-9.037135474345348
11,-0.006003691399040195,4.0777703949797,-0.03791805094130651,-1.818486526393528,0.22118863049096413,-8.81594684385476
12,-0.005450719822812799,4.042617201919531,-0.0063196751568844745,-1.9638390550018592,0.9163528977482467,-8.815946843854405
13,-0.0054507198228128185,4.004936138796607,0.00947951273532621,-2.1139313399778814,1.2323366555924549,-8.973938722776609
14,-0.006872646733111815,3.964411221853086,-0.01737910668143239,-2.2671834625322784,0.41077888519748235,-8.97393872277501
15,-0.009874492432631932,3.9213584348468102,-0.08847545219638266,-2.425175341454411,-1.6431155407899638,-9.226725729051033
16,-0.013192321889996271,3.8760147655961634,-0.15483204134366904,-2.57842746400887,-3.286231081579905,-9.289922480619772
17,-0.01611517165005534,3.828696197858991,-0.1848504983388705,-2.7143004798818993,-3.3494278331487624,-8.942340346992417
18,-0.018327057954964903,3.7790867478774484,-0.16905131044665941,-2.8454337393872375,-1.6115171650055349,-8.405167958656534
19,-0.020222960502030242,3.7269494278331514,-0.14061277224067942,-2.98130675526024,0.2843853820597928,-8.057585825027402
20,-0.02164488741232923,3.6714152823920294,-0.11059431524547782,-3.1456183093392287,1.4851236618678538,-8.626356589146589
21,-0.022750830564784007,3.6129582871908488,-0.08847545219638209,-3.3225692137319918,1.6115171650055469,-9.542709486895085
22,-0.023145810262089266,3.5519734219269132,-0.058456995201180494,-3.4995201181247637,1.6431155407899787,-10.364267257290471
23,-0.02346179401993348,3.4889346622369906,-0.036338132152084965,-3.649612403100777,1.4851236618678572,-10.079881875230967
24,-0.02409376153562194,3.4236840162421585,-0.02685861941675867,-3.7854854189738063,1.2323366555924686,-9.25832410483629
25,-0.02417275747508301,3.3559844961240337,-0.02053894425987489,-3.9197785160575904,0.7583610188261124,-8.405167958656534
26,-0.023856773717238808,3.2860730897009995,-0.007899593946106565,-4.05723145071982,0.5687707641195683,-8.152380952380867
27,-0.022434846806939822,3.214107788851978,0.03317829457364238,-4.191524547803613,1.2007382798080213,-8.120782576596142
28,-0.02132890365448504,3.1401675895164294,0.05687707641195944,-4.316338132152087,1.548320413436687,-7.931192321889924
29,-0.020933923957179735,3.063541528239205,0.05845699520118145,-4.4506312292358885,1.3271317829457607,-7.867995570321362
30,-0.02235585086747872,2.984150609080844,0.0015799187892220207,-4.5991435954226745,-0.6319675156884069,-8.152380952381222
31,-0.02385677371723878,2.9018368401624244,-0.050557401255074824,-4.7666149870801,-2.148689553340685,-9.005537098560268
32,-0.025831672203765206,2.817232188999633,-0.09795496493170941,-4.926186784791442,-3.128239202657817,-9.51111111111107
33,-0.026779623477297884,2.73017866371355,-0.08847545219638327,-5.079438907345883,-1.8011074197121053,-9.60590623846418
34,-0.028043558508674772,2.640755260243635,-0.08373569582871983,-5.221631598375787,-0.6635658914728997,-9.100332225913732
35,-0.02851753414544108,2.5484090070136602,-0.05371723883351748,-5.376463639719456,0.884754521963839,-9.005537098560286
36,-0.02938648947951268,2.4533768918420105,-0.05213732004429594,-5.536035437430788,0.7267626430417469,-9.131930601698084
37,-0.03025544481358431,2.355658914728684,-0.044237726098190766,-5.701926910299022,0.7899593946105815,-9.605906238464712
38,-0.03175636766334439,2.2560450350682926,-0.06477667035806614,-5.8472794389073535,-0.221188630490973,-9.416315983757944
39,-0.03294130675526022,2.1539822812846086,-0.07109634551495075,-5.987892211148039,-0.379180509413096,-9.037135474345028
40,-0.034284237726098156,2.0498656330749374,-0.08057585825027691,-6.11586563307493,-0.7267626430417226,-8.27877445551815
41,-0.03539018087855294,1.9427471391657456,-0.07267626430417104,-6.2659579180509395,-0.15799187892209768,-8.37356958287172
42,-0.036575119970468764,1.8324688076781117,-0.0726762643041709,-6.430269472129937,-0.031598375784402645,-8.847545219637958
43,-0.037997046880767785,1.7186356589147302,-0.07425618309339257,-6.624599483204143,0.12639350313768702,-10.174677002584271
44,-0.03965596160944996,1.6029066076042833,-0.0853156146179404,-6.7968106312292464,-0.252787006275387,-10.61705426356614
45,-0.041709856035437406,1.4854396456256935,-0.10269472129937285,-6.940583241048363,-0.6003691399040386,-10.206275378368517
46,-0.043447766703580616,1.3664717607973436,-0.10901439645625662,-7.043277962347734,-0.6951642672572804,-8.37356958287181
47,-0.04542266519010703,1.2451339977851617,-0.1153340716131414,-7.155452196382432,-0.6003691399040195,-7.1728313030637025
