Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y,Fuerza_Rozamiento_Y,Velocidad_Y_Teorico,Posicion_Y_Teorico,Impulso,Energia_Potencial,Energia_Cinetica,Energia_Mecanica,Energia_Potencial_Teorico,Energia_Cinetica_Teorico,Energia_Mecanica_Teorico
1,0.0,4.28,0.0,0.0,0.0,0.0,0.0,-0.1850395201994197,4.278520293601885,0.0,4.19868,0.0,4.19868,4.19722840802345,0.0017119812017815724,4.198940389225231
2,0.0,4.27741924969851,0.0,-0.15484501808941786,0.0,0.0,-0.22540197157790323,-0.4208856779009442,4.273550309524296,-0.0037566995262983873,4.196148283954239,0.0011988489813556074,4.197347132935595,4.192352853643335,0.00885723769310687,4.201210091336442
3,0.0,4.272536749128124,0.0,-0.2238975261562981,0.0,-4.143150484012814,-0.32591906701126,-0.7214885439407301,4.26413171587872,-0.009188683976486055,4.19135855089469,0.0025065051109455097,4.193865056005635,4.183113213277024,0.026027285951885745,4.209140499228909
4,0.0,4.265352498288847,0.0,-0.29295003422307175,0.0,-4.143150484009617,-0.42643616244446164,-1.1046284854685937,4.249043049847558,-0.016295953350560412,4.1843108008213585,0.004290986127564946,4.188601786948923,4.168311231900455,0.06101020454543196,4.229321436445887
5,0.0,4.255680497158939,0.0,-0.43477505079142276,0.0,-5.598600654040098,-0.6328854156914396,-1.5929678573711417,4.226727469346516,-0.02684404361208441,4.174822567712919,0.009451467239534212,4.184274034952454,4.1464196474289325,0.1268773297308803,4.273296977159813
6,0.0,4.243729995762854,0.0,-0.5761350673054011,0.0,-7.04475082298206,-0.8386577861408133,-2.2153914585211467,4.195200667329536,-0.04082167338109796,4.16309912584336,0.016596580788949954,4.17969570663231,4.1154918546502754,0.2453979657244227,4.360889820374698
7,0.0,4.230337994198367,0.0,-0.7002900818095981,0.0,-8.146800951730526,-1.0193854930817554,-3.008715039536546,4.151933501957044,-0.057811431599127217,4.149961572308598,0.02452030993404468,4.174481882242643,4.0730467654198605,0.45261830945667003,4.525665074876531
8,0.0,4.215736992492642,0.0,-0.7988700933259274,0.0,-7.281900850690093,-1.1628846461582958,-4.019862918621257,4.093702400316051,-0.07719284236843214,4.135637989635283,0.0319096713005288,4.167547660935812,4.015922054710046,0.8079648942253107,4.823886948935357
9,-9.30000108644858e-05,4.199973490651112,-0.001860000217289716,-0.8751301022348379,-0.037200004345794326,-5.979900698588736,-1.2738934249534308,-5.308643509346778,4.016398687217721,-0.09842439945098932,4.1201739943287405,0.03829263479187789,4.1584666291206185,3.9400871121605845,1.4090847954664838,5.349171907627069
10,4.650000543224288e-05,4.183233488695505,0.0009300001086448576,-0.9420901100572365,0.01860000217289715,-4.836000564952769,-1.3713645477978533,-6.951286930143264,3.91478556105617,-0.12128047524762021,4.10375205241029,0.0443766887733828,4.148128741183673,3.840404635396103,2.4160194992590287,6.256424134655132
11,0.0003255000380257002,4.164912486555201,0.006510000760514004,-1.016490118748834,0.1302000152102801,-4.352400508458132,-1.4796657954028305,-9.044953941660706,3.782188342086984,-0.1459415718376674,4.085779149310652,0.05166260807570094,4.137441757386354,3.710326763587332,4.090559590338177,7.8008863539255096
12,0.0007440000869158863,4.144870984213903,0.01674000195560744,-1.1020501287441675,0.3720000434579432,-4.538400530186593,-1.604212230148549,-11.713482911259554,3.61009967161234,-0.1726784423401432,4.06611843551384,0.06072572431325181,4.126844159827091,3.541507777851706,6.860284095618479,10.401791873470184
13,0.000883500103212615,4.1227369816281545,0.016740001955607445,-1.2099301413470087,0.31620003693925175,-5.356800625795444,-1.761249039175802,-15.114714731990729,3.3876763099885805,-0.20203259299307325,4.04440497897722,0.07319654734699964,4.11760152632422,3.323310460098798,11.422730071472879,14.746040531571676
14,0.0007440000869158863,4.099161478874008,0.00837000097780372,-1.3150201536238626,0.037200004345794326,-5.970600697500572,-1.9142245514177922,-19.449828957898276,3.1010977695477875,-0.23393633551670312,4.021277410775402,0.08646390022184636,4.107741310997248,3.0421769119263797,18.91479232457492,21.956969236501298
15,0.000418500048890186,4.074655976011215,-0.006510000760514005,-1.404300164053769,-0.4650000543224289,-6.0450007061920275,-2.0441860485437493,-24.975243378967004,2.7327488461944958,-0.26800610299243227,3.9972375124670023,0.09860294753807212,4.095840460005075,2.6808266181168006,31.18813909193176,33.86896571004856
16,0.0,4.049685473094101,-0.0176700020642523,-1.4610301706810702,-0.6882000803971949,-5.02200058668123,-2.1267657498424835,-32.01778088399961,2.2601776972165872,-0.30345219882314034,3.9727414491053135,0.10673045798201786,4.079471907087331,2.2172343209694723,51.256914636790555,53.47414895776003
17,-0.000418500048890186,4.023645470052044,-0.023250002716121446,-1.5103201764392793,-0.6324000738785034,-3.906000456308334,-2.1985153263808184,-40.99400071661045,1.654767836626275,-0.3400941209294873,3.9471962061210553,0.1140533517679788,4.061249557889034,1.623327247730376,84.02540473767291,85.64873198540329
18,-0.0007440000869158863,3.9965359668850455,-0.023250002716121446,-1.5624001825233869,-0.3348000391121488,-3.1620003693923593,-2.2743261997042867,-52.43483754932572,0.8800454978472998,-0.37799955759122544,3.92060178351423,0.12205471651745564,4.042656500031685,0.8633246333882012,137.47060944120892,138.33393407459712
19,-0.0009765001140771008,3.967938463544216,-0.019530002281542017,-1.634940190997698,-0.03720000434579437,-3.4782004063325545,-2.3799199161191447,-67.01700575305871,-0.11047775410247329,-0.4176648895265445,3.892547632736876,0.13365147140697947,4.026199104143855,-0.10837867677452631,224.56395300527527,224.45557432850075
20,-0.0007905000923481291,3.938457460100174,-0.0074400008691588625,-1.7037601990373918,0.3162000369392517,-3.868800451962251,-2.4800985701536993,-85.60302639395395,-1.376054768324007,-0.45899986569577284,3.8636267683582712,0.14513994079119666,4.008766709149468,-1.349909727725851,366.3939063901989,365.04399666247303
21,0.00013950001629672867,3.907953456536622,0.0176700020642523,-1.7716502069684736,0.818400095607475,-4.185000488901736,-2.5789234585932395,-109.29224451553283,-2.9922075564301176,-0.5019819233389935,3.8337023408624264,0.1569372227925718,3.990639563654998,-2.9353556128579457,597.2397355621508,594.3043799492929
22,0.0009765001140771008,3.8762404528318313,0.03906000456308403,-1.8339602142476963,1.171800136892521,-3.980400464999967,-2.669625753462422,-139.4858543287584,-5.055194346077157,-0.5464756858967005,3.802591884228027,0.16817050337217282,3.9707623876001996,-4.959145653501692,972.8151778911803,967.8560322376786
23,0.0014880001738317725,3.8421094488445644,0.045570005323598034,-1.9269602251121931,1.060200123855138,-4.464000521496025,-2.8050023129686434,-177.96977848676437,-7.6877031615068345,-0.5932257244461779,3.769109369316518,0.1856587854582217,3.9547681547747398,-7.541636801438205,1583.662102731399,1576.1204659299608
24,0.00046500005432242896,3.8058859446128466,0.006510000760514008,-2.0413502384755056,-0.22320002607476583,-5.3940006301406385,-2.9715154811612687,-227.02030367274054,-11.04610870084969,-0.6427509824655324,3.733574111665203,0.20835553980620017,3.941929651471403,-10.836232635533547,2576.9109139831667,2566.074681347633
25,-0.0005115000597546815,3.7714294405875544,-0.029760003476635644,-2.0962202448855383,-1.3764001607943939,-5.24520061275684,-3.0513876512699096,-289.5387207432504,-15.329721747424207,-0.693607443320031,3.6997722812163913,0.21970696575339932,3.9194792469697908,-15.038457034223148,4191.6335404818965,4176.5950834476735
26,0.00018600002172896668,3.741390437078325,-0.026040003042056115,-2.0143802353247864,-1.4322001673130833,-1.7484002042518654,-2.9322562789044424,-369.2229332605034,-20.79257820871372,-0.7424783813017716,3.6703040187738374,0.20288638662335712,3.8731904053971946,-20.397519222748162,6816.278722274507,6795.881203051759
27,0.003534000412850507,3.716559434177507,0.06138000717056156,-1.7865302087067914,1.0974001282009507,5.096400595374284,-2.6005837081142325,-470.78618489135613,-27.7584650932103,-0.7858214431036754,3.645944804928135,0.15958450933109658,3.8055293142592315,-27.231054256439307,11081.98159422791,11054.75053997147
28,0.00795150092891363,3.692937431417927,0.16926001977336624,-1.5698401833925502,3.9804004650000375,10.527601229859762,-2.2851563244647894,-600.2358431859466,-36.64007219704086,-0.8239073818447552,3.6227716202209868,0.12321991006969778,3.7459915302906843,-35.94391082529709,18014.153372257213,17978.209461431918
29,0.011206501309170665,3.666199928294387,0.22041002574883395,-1.5038101756787636,4.929000575817802,10.211401192920455,-2.1890389672153816,-765.2287295253153,-47.963402304011986,-0.8603913646316782,3.596542129656794,0.11307225222374971,3.709614381880544,-47.05209766023576,29278.75042454641,29231.698326886177
30,0.011299501320035162,3.6328129243940364,0.15531001814369308,-1.674930195669413,1.8786002194626306,2.2320002607475686,-2.4381318367067926,-975.5240126588191,-62.39888373866453,-0.9010268952434581,3.56378947883055,0.14026955801825888,3.704059036848809,-61.21330494762991,47582.35496369819,47521.14165875056
31,0.009718501135338878,3.5935669198092226,0.03534000412850496,-1.987410232174085,-2.678400312897226,-8.351400975630696,-2.8929970766476423,-1243.5604540435534,-80.8010255495887,-0.9492435131875856,3.5252891483328477,0.19748997154751252,3.7227791198803604,-79.26580606414652,77322.13014305044,77242.8643369863
32,0.008323500972371558,3.5489269145942686,-0.05766000673598216,-2.3454602740023667,-5.5614006496963215,-16.83300196647206,-3.4141968307465493,-1585.1921484861846,-104.2589608885241,-1.0061467937000281,3.481497303216978,0.27505919484616287,3.7565564980631407,-102.27804063164216,125641.7073811123,125539.42934048065
33,0.00892800104299074,3.501310909031651,-0.04743000554088842,-2.6300403072477074,-4.05480047369163,-19.10220223156589,-3.8284491028355583,-2020.6262784305447,-134.160868176958,-1.0699542787472873,3.43478600176005,0.34585560088738077,3.7806416026474308,-131.6118116815958,204146.52785420368,204014.9160425221
34,0.011067001292873942,3.450625903110506,0.026970003150701277,-2.8588203339743323,-0.16740001955607386,-17.428202036004947,-4.161475439220808,-2575.618349144992,-172.27608050956687,-1.1393122027343008,3.3850640109514067,0.4086426850972557,3.7937066960486625,-169.0028349798851,331690.49402261875,331521.49118763884
35,0.012973501515595934,3.3998013971730634,0.09300001086448755,-2.9825103484241033,3.013200352009394,-12.741001488434733,-4.341526263364069,-3282.995601808371,-220.85973998585396,-1.2116709737903688,3.3352051706267756,0.4447683989228433,3.779973569549619,-216.66340492612275,538903.0060746553,538686.3426697293
36,0.013485001575350625,3.348883891224757,0.09114001064719768,-3.048540356137881,2.7714003237617217,-8.370000977803471,-4.437643620613464,-4184.598712896854,-282.78618717190767,-1.285631700800593,3.2852550972914867,0.46467991515006396,3.7499350124415507,-277.41324961564146,875543.3193989001,875265.9061492844
37,0.06528600762687008,3.1971078734939136,1.0843801266799227,-5.070360592331848,21.148202470584426,-44.23080516715032,-7.380730024278436,-5333.756629501902,-361.71897554920787,-1.4086438678719002,3.1363628238975294,1.2854278268135886,4.421790650711118,-354.84631501377294,1422447.9891377748,1422093.142822761
38,0.041245504818400114,3.195061873254894,0.5654400660560835,-4.094790478363386,9.448801103831919,-22.245602598785652,-5.960629915058332,-6798.440924681109,-462.32756713975465,-1.5079876997895392,3.1343556976630516,0.8383654530847724,3.972721150747824,-453.54334336409937,2310939.950318947,2310486.4069755827
39,-0.13424551568288742,3.497544408591639,-2.9546103451647614,2.9732103473376448,-60.91500711623919,120.4350140695105,4.327988607413434,-8665.286249893265,-590.5635266430031,-1.4358545563326488,3.4310910648283985,0.44199898847578195,3.8730900533041805,-579.3428196367861,3754359.289629464,3753779.9468098274
