Frame,X_metros,Y_metros
1,2.0062754607177498,4.412453928225025
2,2.0062754607177498,4.404248302618817
3,2.0062754607177498,4.3919398642095056
4,2.0062754607177498,4.3755286129970905
5,2.0062754607177498,4.363220174587779
6,2.0062754607177498,4.338603297769156
7,2.002172647914646,4.318089233753637
8,2.0062754607177498,4.293472356935014
9,2.0062754607177498,4.268855480116392
10,2.002172647914646,4.236032977691562
11,2.002172647914646,4.199107662463628
12,2.002172647914646,4.166285160038798
13,2.002172647914646,4.129359844810864
14,2.002172647914646,4.088331716779826
15,2.002172647914646,4.047303588748788
16,2.002172647914646,3.9980698351115422
17,2.002172647914646,3.9529388942774006
18,2.002172647914646,3.8996023278370515
19,2.002172647914646,3.8462657613967024
20,1.9980698351115425,3.7929291949563533
21,2.002172647914646,3.7272841901066927
22,1.9980698351115425,3.66984481086324
23,1.9980698351115425,3.6000969932104754
24,1.9980698351115425,3.5385548011639187
25,1.9980698351115425,3.460601357904947
26,1.9980698351115425,3.3908535402521824
27,1.9980698351115425,3.3129000969932108
28,1.9939670223084385,3.2349466537342386
29,1.9939670223084385,3.152890397672163
30,1.9939670223084385,3.0667313288069837
31,1.9939670223084385,2.980572259941804
32,1.9939670223084385,2.890310378273521
33,1.9898642095053347,2.79184287099903
34,1.9898642095053347,2.697478176527643
35,1.9898642095053347,2.5949078564500487
36,1.9898642095053347,2.48823472356935
37,1.985761396702231,2.385664403491756
38,1.985761396702231,2.2748884578079536
39,1.985761396702231,2.160009699321048
40,1.9816585838991272,2.0369253152279345
41,1.9816585838991272,1.9179437439379248
42,1.9816585838991272,1.798962172647915
43,1.9816585838991272,1.6676721629485938
44,1.9775557710960234,1.5363821532492725
45,1.9775557710960234,1.3886808923375362
46,1.9775557710960234,1.2532880698351114
47,1.9734529582929197,1.1055868089233751
48,1.9734529582929197,0.9537827352085353
49,1.969350145489816,0.7978758486905919
50,1.9652473326867121,0.6378661493695441
51,1.969350145489816,0.4655480116391848
52,1.9652473326867121,0.2973326867119299
53,1.969350145489816,0.1824539282250246
