Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y
1,-0.0001471397139714034,4.280000000000001,0.0,0.0,0.0,0.0
2,0.0026485148514850984,4.270414898632722,0.1677392739273901,-0.5751060820367648,0.0,0.0
3,0.0042250117868929005,4.25830740216879,0.1311645450259291,-0.6507779349363307,-2.1944837340876595,-4.540311173973954
4,0.0045823510922520135,4.243677510608208,0.09458981612446833,-0.7264497878358611,-2.1944837340876533,-4.5403111739728885
5,0.0035313531353134836,4.22669338362408,0.0176567656765677,-0.8744303001728326,-3.001650165016448,-5.986484362721356
6,0.001513437057991487,4.206766462360525,-0.054231494578028276,-1.0308187961653026,-3.707920792079148,-7.600817224579437
7,-0.001345277384881325,4.184148986327207,-0.11855256954266676,-1.1905704856200217,-4.262847713342702,-9.28241395568321
8,-0.003531353135313479,4.157495678139245,-0.14125412541253923,-1.383954109696699,-3.178217821782139,-10.190476190477327
9,-0.004960710356749875,4.127395096652526,-0.12948294829482723,-1.5874273141599815,-1.5050290743359793,-11.132170359893578
10,-0.005212949866415123,4.095108439415373,-0.07735344963067596,-1.7808109382366766,0.8239823982398159,-11.804809052333098
11,-0.005549269212635452,4.060467546754679,-0.04035832154643946,-1.9405626276913246,2.0179160773219955,-11.132170359892513
12,-0.005717428885745632,4.023556498506997,-0.015134370579915138,-2.076771962910584,2.2869715542982423,-9.786892975012051
13,-0.00655822725129649,3.9839548954895525,-0.026905547697627343,-2.2230708785164133,1.0089580386609724,-8.845198805594734
14,-0.007230865943737187,3.9414945780292348,-0.033631934622034704,-2.3794593745088832,0.1345277384880951,-8.777934936351173
15,-0.008407983655508372,3.8959233066163788,-0.053811095395254804,-2.552663837812359,-0.7735344963067933,-9.517837498035497
16,-0.009669181203834639,3.847072921577875,-0.06221907905076298,-2.7376394782335467,-0.7062706270627128,-10.291371994342668
17,-0.012107496463932079,3.795027502750278,-0.09753261040389787,-2.929341505579135,-1.2780135156372634,-10.997642621405035
18,-0.01454581172402951,3.7401233694798077,-0.12275656137042275,-3.1159987427314206,-1.378909319503359,-11.266698098381234
19,-0.016731887474461693,3.68244460160302,-0.1412541254125411,-3.292566399497101,-1.5807009272355623,-11.098538425271087
20,-0.017488606003457446,3.6227479176489106,-0.10762219079050735,-3.4455917020273485,-0.20179160773218965,-10.325003928964271
21,-0.017909005186232868,3.5611173974540336,-0.06726386924406715,-3.5801194405154835,1.109853842527112,-9.282413955681257
22,-0.018161244695898124,3.4975530410183904,-0.028587144428728617,-3.697831211692595,2.2533396196762494,-8.105296243909876
23,-0.019506522080779465,3.431802608832315,-0.04035832154644037,-3.818906176331911,1.3452773848813395,-7.466289486091249
24,-0.02093587930221589,3.363361621876477,-0.06053748231966041,-3.955115511551135,0.13452773848813457,-7.499921420713029
25,-0.022533396196762492,3.2916415212949897,-0.08744303001728737,-4.118230394468014,-1.177117711771175,-8.407983655508389
26,-0.02329011472575826,3.2173149457802954,-0.0756718528995759,-4.289753261040392,-0.7062706270627106,-9.416941694169623
27,-0.024467232437529456,3.140802294515168,-0.07062706270627134,-4.451186547226174,-0.20179160773221852,-9.921420713500773
28,-0.02564435014930063,3.062019487663054,-0.062219079050762766,-4.592440672638709,0.5044790193304921,-9.484205563413894
29,-0.027494106553512483,2.9802098066949574,-0.08407983655508448,-4.742102781706761,-0.16815967311017177,-9.046990413327372
30,-0.028418984755618396,2.8952891717743228,-0.0790350463617788,-4.910262454816907,-0.16815967311014926,-9.181518151814672
31,-0.02942794279427941,2.807846141757035,-0.07567185289957562,-5.083466918120383,-0.2690554769762572,-9.820524909633477
32,-0.029259783121169253,2.7177966368065403,-0.03531353135313539,-5.248263397768342,0.9753261040389818,-10.123212321231634
33,-0.02925978312116925,2.625308816595947,-0.016815967311017074,-5.399607103567519,1.2443815810152346,-9.786892975012229
34,-0.028334904919063306,2.5298782021059267,0.02186075750432212,-5.559358793022167,1.9506522080779547,-9.517837498035675
35,-0.02783042589973279,2.431252553826813,0.02858714442872924,-5.730881659594544,1.2780135156372927,-9.65236523652404
36,-0.0272418670438472,2.3292637120854964,0.04035832154644099,-5.920902090209008,1.1434857771491613,-10.42589973282979
