Frame,X_metros,Y_metros,Velocidad_X,Velocidad_Y,Aceleracion_X,Aceleracion_Y
1,0.00044229497354495876,4.280088458994709,0.0,0.0,0.0,0.0
2,-0.00013268849206347764,4.274957837301589,-0.03449900793650618,-0.3078373015872238,0.0,0.0
3,-0.0009288194444444066,4.265669642857145,-0.041133432539680964,-0.43256448412691384,-0.3980654761904869,-7.483630952381404
4,-0.0019460978835978298,4.252223875661379,-0.04776785714285577,-0.5572916666666039,-0.3980654761904877,-7.483630952381404
5,-0.0034499007936507216,4.23453207671958,-0.06634424603174488,-0.8085152116401773,-0.636904761904774,-10.01355820105907
6,-0.004953703703703627,4.21250578703704,-0.0804976851851844,-1.0632771164021015,-0.7872850529100686,-12.614252645503754
7,-0.006015211640211581,4.186675760582014,-0.08138227513227503,-1.3109623015872884,-0.6722883597883852,-15.07341269841369
8,-0.007784391534391486,4.157218915343918,-0.08668981481481529,-1.5462632275132293,-0.4069113756614082,-14.754960317461041
9,-0.009642030423280388,4.124931382275134,-0.09376653439153522,-1.7514880952381162,-0.2653769841270165,-13.764219576720294
10,-0.011941964285714264,4.090697751322754,-0.11853505291005366,-1.9195601851852118,-0.7430555555555727,-12.171957671958467
11,-0.013445767195767186,4.054694940476193,-0.11322751322751401,-2.050479497354498,-0.5307539682539745,-10.084325396825378
12,-0.014507275132275139,4.016569113756617,-0.09730489417989503,-2.1672453703703454,-0.07076719576719626,-8.315145502644583
13,-0.015303406084656081,3.9752587632275165,-0.06722883597883635,-2.3087797619047468,1.0261243386243464,-7.7843915343907
14,-0.016807208994708972,3.930410052910056,-0.06722883597883572,-2.4856977513227463,0.9199735449735656,-8.704365079364962
15,-0.018576388888888847,3.8820229828042354,-0.08138227513227418,-2.690922619047633,0.31845238095241696,-10.473544973545756
16,-0.020522486772486713,3.8309821428571453,-0.10438161375661265,-2.885532407407423,-0.743055555555526,-11.535052910053523
17,-0.021583994708994643,3.777464451058204,-0.09553571428571343,-3.058912037037045,-0.5661375661375542,-11.464285714285971
18,-0.022291666666666612,3.7219122023809548,-0.0743055555555553,-3.202215608465613,0.14153439153437755,-10.225859788359593
19,-0.022999338624338575,3.6632638888888915,-0.04953703703703724,-3.354365079365076,1.0968915343915082,-9.37665343915306
20,-0.024060846560846526,3.601342592592595,-0.04953703703703766,-3.5224371693121803,0.9199735449735155,-9.27050264550271
21,-0.026006944444444423,3.535706018518521,-0.07430555555555621,-3.724123677248672,-1.805962786723588e-14,-10.438161375661181
22,-0.027953042328042316,3.4680348875661404,-0.09907407407407483,-3.9045800264550223,-0.9907407407407517,-11.004298941798929
23,-0.029191468253968247,3.3983291997354526,-0.10261243386243442,-4.060267857142845,-1.0615079365079352,-10.756613756613298
24,-0.029633763227513224,3.3268543320105843,-0.07253637566137602,-4.177033730158737,0.035383597883603755,-9.058201058201298
25,-0.029633763227513234,3.2523718584656107,-0.03361441798941836,-4.313260582010594,1.3091931216931296,-8.173611111111434
26,-0.030341435185185183,3.1745279431216957,-0.022999338624338714,-4.4760251322751365,1.5922619047619142,-8.315145502645827
27,-0.032110615079365065,3.0927033730158753,-0.049537037037036824,-4.683019179894181,0.4599867724867841,-10.119708994708887
28,-0.03467592592592589,3.0077827380952407,-0.10084325396825307,-4.891782407407401,-1.344576719576694,-11.570436507936144
29,-0.037152777777777736,2.9205621693121713,-0.13622685185185104,-5.079315476190489,-2.2645502645502464,-12.06580687830705
30,-0.03847966269841265,2.8311301256613772,-0.12738095238095173,-5.231464947089961,-1.556878306878298,-10.968915343915597
31,-0.03901041666666663,2.739840443121695,-0.08668981481481486,-5.358845899470914,0.2830687830687643,-9.341269841270261
32,-0.03971808862433859,2.645543154761907,-0.05130621693121715,-5.500380291005289,1.6984126984126782,-8.421296296296
33,-0.04095651455026453,2.5479728835978857,-0.04953703703703752,-5.663144841269831,1.5568783068782845,-8.633597883597393
34,-0.04263723544973544,2.446598875661378,-0.07253637566137616,-5.864831349206341,0.2830687830687739,-10.119708994708532
35,-0.04387566137566137,2.342394179894182,-0.0831514550264556,-6.0629794973545,-0.6369047619047691,-11.25198412698422
36,-0.044583333333333336,2.235624173280425,-0.07253637566137616,-6.24697420634921,-0.459986772486773,-11.676587301587595
37,-0.0452910052910053,2.126642691798943,-0.05307539682539719,-6.399123677248699,0.3892195767195794,-10.685846560847168
38,-0.046529431216931226,2.0149189814814825,-0.05307539682539705,-6.549503968253987,0.601521164021171,-9.730489417989734
39,-0.04821015211640214,1.9008068783068797,-0.07253637566137602,-6.69634589947091,2.812564995717063e-15,-8.987433862433996
40,-0.04944857804232808,1.7837756283068797,-0.0831514550264556,-6.857341269841264,-0.6015211640211682,-9.164351851851293
41,-0.05015625000000003,1.6640021494709007,-0.07253637566137602,-7.018336640211635,-0.3892195767195794,-9.376653439152971
42,-0.05086392195767196,1.541397982804234,-0.0530753968253965,-7.188177910052914,0.3892195767195905,-9.836640211640084
43,-0.05210234788359786,1.4157862103174617,-0.053075396825395665,-7.359788359788362,0.6015211640211987,-10.048941798941957
44,-0.053606150793650754,1.287697585978837,-0.06899801587301455,-7.526091269841274,0.07076719576722956,-10.15509259259277
45,-0.05510995370370366,1.1573974867724877,-0.084920634920634,-7.680009920634926,-0.63690476190475,-9.836640211640226
46,-0.05634837962962961,1.0248859126984133,-0.08492063492063495,-7.818005952380967,-0.6369047619047857,-9.16435185185211
47,-0.05785218253968253,0.8898974867724875,-0.08492063492063551,-7.956001984126992,-0.3184523809524193,-8.598214285714363
